#Wavelength grid for emission coefficient.
#  -->  Points from Aller (1984)   for lambda=1000 to 10000.1 (54 pts)
#  -->  Points from Ferland (1980) for lambda > 10000.1     (17 pts)

#  Emission coefficients from Aller (1984, Table 4-9, p.102)  for lambda <=10000.1 Ang,
#  and Ferland (1980, PASP 92, 506, Table 1) for lambda >=14591 Ang
#  all for Te = 10000 K:
#   ga_h in gamma_h in [1.d-40 ergs cm^3 s^-1 Hz^-1]
#   ga_2q /	! gamma_2q in [1.d-40 ergs cm^3 s^-1 Hz^-1] assume ga_2q=0 for lambda >=10000 A
#   ga_hei /	! gamma_HeI in [1.d-40 ergs cm^3 s^-1 Hz^-1] assume ga_hei=ga_h for lambda >=10000 A
# ga_h   ga_2q  ga_hei  wave
  0.000  0.000  0.000   10.0  ##added by R.Thomas
  0.000  0.000  0.000   999.9 ## added by R.Thomas
  0.001  0.000  0.046   1000.
  0.009  0.000  0.079   1200.
  0.023  5.611  0.126   1300.
  0.051  8.236  0.210   1400.
  0.100  9.210  0.400   1500.
  0.181  9.478  0.869   1600.
  0.486  9.196  1.650   1800.
  1.272  8.433  3.895   2051.
  1.280  8.426  3.926   2053.
  2.026  7.947  6.087   2200.
  3.453  7.314  9.014   2400.1
  5.404  6.747  11.861  2599.4
  5.419  6.743  7.156   2600.8
  6.928  6.423  9.976   2725.4
  8.740  6.096  12.651  2855.2
  11.020 5.770  15.326  2997.9
  13.231 5.508  17.443  3121.4
  13.242 5.507  15.873  3122.
  17.477 5.206  20.979  3331.
  19.490 4.947  22.989  3421.4
  19.505 4.946  4.321   3422. 
  21.976 4.771  4.902   3527.
  24.841 4.588  5.501   3642.
  1.387  4.579  5.532   3648.
  1.434  4.532  5.687   3679.2
  1.435  4.531  1.450   3679.9
  1.950  4.088  2.070   4000.
  2.461  3.746  2.807   4282.8
  2.883  3.512  3.310   4499.9
  3.929  3.055  4.943   4996.5
  4.150  2.975  5.231   5096. 
  4.959  2.715  6.176   5450.8
  5.534  2.554  6.759   5695.8
  5.544  2.552  6.771   5700.
  6.252  2.375  7.583   5995.9
  7.801  2.064  9.086   6633.8
  7.806  2.063  8.661   6635.8
  8.693  1.913  9.391   6999.9
  9.754  1.751  10.176  7438.7
  9.760  1.750  10.000  7441.1
  10.729 1.616  10.607  7848.
  10.735 1.615  8.081   7850.4
  11.537 1.515  8.497   8193.3
  11.544 1.514  5.880   8196.2
  11.545 1.514  5.880   8196.7
  11.549 1.514  5.041   8198.5
  11.569 1.511  5.048   8207.
  4.317  1.511  5.050   8209.
  4.368  1.496  5.098   8265.4
  4.371  1.496  4.360   8268.1
  4.578  1.438  4.596   8499.9
  5.020  1.324  5.065   9000.
  5.449  1.221  5.483   9500.1
  5.867  1.129  5.860   10000.1
  9.04   0.0    9.04    14591.
  5.93   0.0    5.93    14592.
  8.51   0.0    8.51    22799.
  6.90   0.0    6.90    22800.
  8.50   0.0    8.50    32805.
  7.56   0.0    7.56    32806.
  8.66   0.0    8.66    44705.
  8.06   0.0    8.06    44706.
  8.87   0.0    8.87    58460.
  8.47   0.0    8.47    58461.
  9.11   0.0    9.11    74145.
  8.82   0.0    8.82    74146.
  9.34   0.0    9.34    91199.
  9.14   0.0    9.14    91200.
  9.58   0.0    9.58    109878.
  9.42   0.0    9.42    109879.
  9.80   0.0    9.80    132173.
  0.00   0.00   0.00    132173.1
  0.00   0.00   0.00    300000.  ###added by R.Thomas
