date,Rain
1936-01-01,0.65
1936-02-01,0.68
1936-03-01,0.63
1936-04-01,2.41
1936-05-01,2.99
1936-06-01,1.58
1936-07-01,0.16
1936-08-01,2.49
1936-09-01,0.12
1936-10-01,0.07
1936-11-01,0
1936-12-01,1.7
1937-01-01,0.99
1937-02-01,0.2
1937-03-01,0.67
1937-04-01,1.43
1937-05-01,1.32
1937-06-01,2.85
1937-07-01,2.1
1937-08-01,2.42
1937-09-01,4.65
1937-10-01,1.2
1937-11-01,0
1937-12-01,0.8
1938-01-01,0
1938-02-01,0.43
1938-03-01,1.17
1938-04-01,4.97
1938-05-01,3.23
1938-06-01,1.4
1938-07-01,3.33
1938-08-01,1.41
1938-09-01,2.4
1938-10-01,0
1938-11-01,0.26
1938-12-01,0.27
1939-01-01,1.02
1939-02-01,1.24
1939-03-01,3.53
1939-04-01,1.14
1939-05-01,3.62
1939-06-01,3.56
1939-07-01,0.6
1939-08-01,0.9
1939-09-01,0.21
1939-10-01,1.51
1939-11-01,0
1939-12-01,0.62
1940-01-01,0.51
1940-02-01,0.02
1940-03-01,1.23
1940-04-01,2.44
1940-05-01,0.9
1940-06-01,2.11
1940-07-01,1.77
1940-08-01,1.26
1940-09-01,0.66
1940-10-01,1.42
1940-11-01,1.11
1940-12-01,0.92
1941-01-01,0.76
1941-02-01,0.88
1941-03-01,1.45
1941-04-01,2.82
1941-05-01,2.69
1941-06-01,4.27
1941-07-01,2.71
1941-08-01,2.09
1941-09-01,3.08
1941-10-01,2.43
1941-11-01,0.21
1941-12-01,0.7
1942-01-01,0.21
1942-02-01,1.49
1942-03-01,1.07
1942-04-01,4.99
1942-05-01,6.95
1942-06-01,3.14
1942-07-01,0.78
1942-08-01,1.46
1942-09-01,1.69
1942-10-01,1.1
1942-11-01,0.45
1942-12-01,0.14
1943-01-01,0.02
1943-02-01,0.1
1943-03-01,0.69
1943-04-01,2.16
1943-05-01,1.77
1943-06-01,2.41
1943-07-01,3.57
1943-08-01,0.89
1943-09-01,0.12
1943-10-01,0.87
1943-11-01,0.24
1943-12-01,0.15
1944-01-01,1.08
1944-02-01,0.34
1944-03-01,0.73
1944-04-01,1.34
1944-05-01,1.9
1944-06-01,3.97
1944-07-01,5.01
1944-08-01,2.37
1944-09-01,1.05
1944-10-01,0.23
1944-11-01,1.77
1944-12-01,0.18
1945-01-01,0.15
1945-02-01,0.24
1945-03-01,0.53
1945-04-01,1.64
1945-05-01,1.34
1945-06-01,3.5
1945-07-01,3.39
1945-08-01,3.73
1945-09-01,2.66
1945-10-01,0.49
1945-11-01,0.3
1945-12-01,0.36
1946-01-01,0.08
1946-02-01,0.18
1946-03-01,1.64
1946-04-01,1.09
1946-05-01,4.58
1946-06-01,1.77
1946-07-01,1.5
1946-08-01,2.58
1946-09-01,2.77
1946-10-01,2.48
1946-11-01,0.84
1946-12-01,0.06
1947-01-01,0.59
1947-02-01,0.04
1947-03-01,0.03
1947-04-01,1.6
1947-05-01,1.65
1947-06-01,6.24
1947-07-01,1
1947-08-01,0.84
1947-09-01,2
1947-10-01,0.61
1947-11-01,0.81
1947-12-01,0.31
1948-01-01,0.26
1948-02-01,0.11
1948-03-01,0.54
1948-04-01,0.66
1948-05-01,1.41
1948-06-01,3.78
1948-07-01,1.58
1948-08-01,2.27
1948-09-01,1.13
1948-10-01,0.99
1948-11-01,0.16
1948-12-01,0.49
1949-01-01,0.31
1949-02-01,0.01
1949-03-01,0.96
1949-04-01,0.42
1949-05-01,4.2
1949-06-01,3.9
1949-07-01,2.81
1949-08-01,2.09
1949-09-01,1.23
1949-10-01,2.9
1949-11-01,0
1949-12-01,0.17
1950-01-01,0.28
1950-02-01,0.21
1950-03-01,0.44
1950-04-01,0.27
1950-05-01,1.6
1950-06-01,1.04
1950-07-01,4.89
1950-08-01,3.76
1950-09-01,1.8
1950-10-01,0.3
1950-11-01,0.27
1950-12-01,0.03
1951-01-01,0.02
1951-02-01,0
1951-03-01,0.26
1951-04-01,0.86
1951-05-01,3.39
1951-06-01,6.58
1951-07-01,5.66
1951-08-01,1.88
1951-09-01,2.33
1951-10-01,1.52
1951-11-01,0.26
1951-12-01,0.47
1952-01-01,0.35
1952-02-01,0.49
1952-03-01,0.48
1952-04-01,0.68
1952-05-01,3.97
1952-06-01,1.28
1952-07-01,1.15
1952-08-01,0.78
1952-09-01,0.78
1952-10-01,0.3
1952-11-01,0.56
1952-12-01,0.11
1953-01-01,0.16
1953-02-01,0.41
1953-03-01,0.37
1953-04-01,2.77
1953-05-01,1.42
1953-06-01,2.88
1953-07-01,4.33
1953-08-01,1.69
1953-09-01,0
1953-10-01,1.47
1953-11-01,0.71
1953-12-01,0.13
1954-01-01,0
1954-02-01,0
1954-03-01,0.61
1954-04-01,0.88
1954-05-01,3.16
1954-06-01,4.37
1954-07-01,0.84
1954-08-01,3.08
1954-09-01,2.61
1954-10-01,0.79
1954-11-01,0.11
1954-12-01,0.2
1955-01-01,0.37
1955-02-01,0.41
1955-03-01,0.06
1955-04-01,0.29
1955-05-01,6.43
1955-06-01,2.92
1955-07-01,2.49
1955-08-01,1.63
1955-09-01,1.58
1955-10-01,0.64
1955-11-01,1.03
1955-12-01,0.21
1956-01-01,0.14
1956-02-01,0.17
1956-03-01,0.08
1956-04-01,1.19
1956-05-01,1.73
1956-06-01,3.31
1956-07-01,3.63
1956-08-01,2.97
1956-09-01,0.04
1956-10-01,0.67
1956-11-01,0.69
1956-12-01,0.22
1957-01-01,0.21
1957-02-01,0.18
1957-03-01,0.42
1957-04-01,2.04
1957-05-01,6.3
1957-06-01,3.87
1957-07-01,2.88
1957-08-01,1.7
1957-09-01,1.48
1957-10-01,3.3
1957-11-01,0.19
1957-12-01,0.19
1958-01-01,0.09
1958-02-01,0.19
1958-03-01,0.8
1958-04-01,2.08
1958-05-01,3
1958-06-01,4.46
1958-07-01,7.14
1958-08-01,1.71
1958-09-01,0.76
1958-10-01,0.39
1958-11-01,0.18
1958-12-01,0.34
1959-01-01,0.41
1959-02-01,0.32
1959-03-01,0.66
1959-04-01,0.24
1959-05-01,3.61
1959-06-01,4.61
1959-07-01,1.92
1959-08-01,2.37
1959-09-01,1.91
1959-10-01,1.41
1959-11-01,0.02
1959-12-01,0.01
1960-01-01,0.31
1960-02-01,1.51
1960-03-01,0.42
1960-04-01,2.97
1960-05-01,3.49
1960-06-01,1.7
1960-07-01,1.84
1960-08-01,2.31
1960-09-01,1.1
1960-10-01,1.31
1960-11-01,0.23
1960-12-01,0.31
1961-01-01,0
1961-02-01,0.46
1961-03-01,1.12
1961-04-01,1.83
1961-05-01,5.49
1961-06-01,1.06
1961-07-01,4.31
1961-08-01,1.23
1961-09-01,2.95
1961-10-01,0.7
1961-11-01,0.22
1961-12-01,0.09
1962-01-01,0.05
1962-02-01,0.15
1962-03-01,0.63
1962-04-01,0.72
1962-05-01,5.94
1962-06-01,6.97
1962-07-01,4.13
1962-08-01,0.42
1962-09-01,1.93
1962-10-01,1.23
1962-11-01,0.09
1962-12-01,0.37
1963-01-01,0.68
1963-02-01,0.23
1963-03-01,0.67
1963-04-01,0.76
1963-05-01,0.7
1963-06-01,4.14
1963-07-01,2.23
1963-08-01,4.21
