date,, spi3, spi6,,1,3,6
1/1/1936,1.03,,,1.03,1.028452808,,
2/1/1936,0.99,,,0.99,0.987325797,,
3/1/1936,-0.14,0.5,,-0.14,-0.142184189,0.503064047,
4/1/1936,0.64,0.52,,0.64,0.636539005,0.51709566,
5/1/1936,0.09,0.18,,0.09,0.091134938,0.180469378,
6/1/1936,-1.09,-0.37,-0.2,-1.09,-1.094154188,-0.368966824,-0.203359714
7/1/1936,-3.12,-1.75,-1.2,-3.12,-3.117537302,-1.751111301,-1.199336343
8/1/1936,0.51,-1.8,-1.22,0.51,0.509917998,-1.801745576,-1.218930262
9/1/1936,-1.78,-2.13,-1.68,-1.78,-1.782748682,-2.130873432,-1.682196793
10/1/1936,-1.65,-1.31,-2.35,-1.65,-1.647007815,-1.311802647,-2.35021446
11/1/1936,-1.31,-3.58,-2.94,-1.31,-1.313178534,-3.582465851,-2.939395661
12/1/1936,2.48,-0.01,-1.89,2.48,2.478853481,-0.009563534,-1.893567419
1/1/1937,1.66,1.69,-0.3,1.66,1.658501096,1.690767572,-0.297950706
2/1/1937,-0.2,2.02,-0.73,-0.2,-0.19567705,2.02473564,-0.734189784
3/1/1937,-0.08,0.42,0.14,-0.08,-0.078001636,0.416074558,0.142124743
4/1/1937,-0.14,-0.4,0.47,-0.14,-0.140222306,-0.397328798,0.474979188
5/1/1937,-1.18,-1.12,-0.14,-1.18,-1.178829517,-1.117585334,-0.143441416
6/1/1937,-0.05,-1,-0.78,-0.05,-0.046797214,-1.0001296,-0.775264473
7/1/1937,-0.39,-1.04,-1.16,-0.39,-0.392608851,-1.035607808,-1.155764232
8/1/1937,0.45,-0.27,-1.03,0.45,0.452809177,-0.27493183,-1.029195043
9/1/1937,1.68,0.96,-0.01,1.68,1.682493859,0.963103039,-0.008251521
10/1/1937,0.32,1.58,0.13,0.32,0.319213384,1.582708277,0.134116489
11/1/1937,-1.31,1.35,0.54,-1.31,-1.313178534,1.346865107,0.542013804
12/1/1937,1.26,0.2,0.88,1.26,1.255711857,0.200005471,0.8838442
1/1/1938,-1.24,-0.41,1.43,-1.24,-1.23679973,-0.408309159,1.429240586
2/1/1938,0.47,0.45,1.45,0.47,0.473512856,0.450432999,1.450520783
3/1/1938,0.57,0.17,0.12,0.57,0.565480071,0.174537187,0.121730067
4/1/1938,1.99,1.82,1.46,1.99,1.989944729,1.815873171,1.455437534
5/1/1938,0.23,1.37,1.34,0.23,0.22870467,1.373273265,1.340384542
6/1/1938,-1.29,0.63,0.56,-1.29,-1.286916938,0.626970184,0.557164515
